Mot|Phrase|Catégorie|Traduction en français
palm|The palm trees swayed in the breeze.|Nom masculin|palmier
pan|She used a frying pan to cook breakfast.|Nom masculin|poêle
panel|The expert panel discussed the latest research findings.|Nom masculin|groupe
pant|She caught her breath, her pants heavy from running.|Nom masculin|pantalon
paper|The paper is filled with important information.|Nom masculin|papier
parent|Her parent taught her valuable life lessons.|Nom masculin|parent
park|The park is a great place for outdoor activities.|Nom masculin|parc
parking|The parking lot was full, so they had to find another spot.|Nom masculin|stationnement
part|She played a crucial part in the success of the project.|Nom féminin|partie
participant|Each participant shared their perspective during the discussion.|Nom masculin|participant
participate|They are eager to participate in the charity event.|Verbe|participer
participation|The participation of volunteers is greatly appreciated.|Nom féminin|participation
particular|This particular dress caught her eye.|Adjectif|particulier
particularly|She enjoyed the dessert, particularly the chocolate cake.|Adverbe|particulièrement
partly|The project's success is due to partly their efforts.|Adverbe|en partie
partner|They make a great partner in the business.|Nom masculin|partenaire
partnership|The partnership between the two companies is strategic.|Nom féminin|partenariat
party|They threw a surprise party for her birthday.|Nom masculin|fête
pass|She tried to pass the ball to her teammate.|Verbe|passer
passage|The passage of time can bring about changes.|Nom masculin|passage
passenger|The passenger enjoyed the scenic train ride.|Nom masculin|passager
passion|Her passion for music was evident in her performance.|Nom féminin|passion
past|The past experiences shaped who she is today.|Nom masculin|passé
path|They walked along a narrow path in the forest.|Nom masculin|chemin
patience|Patience is required when dealing with complex issues.|Nom féminin|patience
patient|The patient showed great resilience throughout the treatment.|Nom masculin|patient
pattern|The pattern on the fabric was intricate and beautiful.|Nom masculin|motif
pause|She took a moment to pause and reflect on her choices.|Nom féminin|pause
pay|They need to pay the bill before leaving the restaurant.|Verbe|payer
payment|The payment for the services can be made online.|Nom masculin|paiement
peace|The peaceful atmosphere was calming and serene.|Nom féminin|paix
peak|The mountain peak offers stunning views of the landscape.|Nom masculin|sommet
pen|She used a pen to write a heartfelt letter.|Nom masculin|stylo
penalty|A penalty will be imposed for violating the rules.|Nom masculin|pénalité
people|The people in the community are supportive and friendly.|Nom masculin|gens
pepper|She added some pepper to enhance the flavor of the dish.|Nom masculin|poivre
per|The cost per item is reasonable.|Préposition|par
perfect|She delivered a perfect performance on stage.|Adjectif|parfait
perfectly|The puzzle pieces fit together perfectly.|Adverbe|parfaitement
perform|She will perform a dance routine at the event.|Verbe|se produire
performance|The performance of the team exceeded expectations.|Nom féminin|performance
perhaps|Perhaps he will join us for dinner later.|Adverbe|peut-être
period|The study covered a period of several years.|Nom masculin|période
permanent|The permanent marker left a lasting impression.|Adjectif|permanent
permission|You need permission to access this area.|Nom féminin|autorisation
permit|They will permit access to the facility.|Verbe|autoriser
person|She is a kind and compassionate person.|Nom masculin|personne
personal|Her personal belongings were neatly organized.|Adjectif|personnel
personality|Her bubbly personality brightened the room.|Nom féminin|personnalité
personally|She felt personally responsible for the project's success.|Adverbe|personnellement
perspective|Each person has their own unique perspective.|Nom féminin|perspective
persuade|She tried to persuade them to change their minds.|Verbe|persuader
pet|The pet dog was loyal and affectionate.|Nom féminin|animal de compagnie
phase|The project is in its final phase.|Nom féminin|phase
philosophy|Her philosophy on life is to always be positive.|Nom féminin|philosophie
phone|She answered the phone and took the message.|Nom masculin|téléphone
photo|She took a photo to capture the moment.|Nom féminin|photo
photograph|The photograph captured the beauty of the landscape.|Nom masculin|photographie
photographer|The photographer specializes in nature photography.|Nom masculin|photographe
phrase|The phrase "time flies" is often used in conversations.|Nom féminin|phrase
physical|Physical activity is important for overall health.|Adjectif|physique
physically|They were physically exhausted after the hike.|Adverbe|physiquement
physics|The field of physics explores the laws of the universe.|Nom féminin|physique
piano|She plays the piano beautifully.|Nom masculin|piano
pick|She will pick a flower from the garden.|Verbe|choisir
picture|The picture on the wall is a family portrait.|Nom masculin|image
pie|She baked a delicious apple pie for dessert.|Nom masculin|tarte
piece|She tore a piece of paper from the notebook.|Nom masculin|morceau
pile|The pile of books on the table kept growing.|Nom masculin|pile
pilot|The pilot safely landed the plane at the airport.|Nom masculin|pilote
pin|She used a pin to secure the fabric in place.|Nom masculin|épingle
pink|The pink flowers added a pop of color to the garden.|Adjectif|rose
pipe|The water pipe had a small leak.|Nom masculin|tuyau
pitch|The pitch of his voice rose as he got excited.|Nom masculin|ton
place|They visited a beautiful place during their vacation.|Nom féminin|endroit
plan|They need to create a detailed plan for the project.|Nom masculin|plan
plane|The plane will depart in the evening.|Nom masculin|avion
planet|Earth is the third planet from the sun.|Nom masculin|planète
planning|The planning phase is essential for a successful project.|Nom féminin|planification
plant|She loves to plant flowers in her garden.|Nom masculin|plante
plastic|The plastic container is recyclable.|Adjectif|en plastique
plate|The plate was full of delicious food.|Nom féminin|assiette
platform|The platform is used for launching rockets.|Nom masculin|plateforme
play|They enjoy playing board games together.|Verbe|jouer
player|The soccer player scored a winning goal.|Nom masculin|joueur
please|Please pass the salt to me.|Adverbe|s'il vous plaît
pleasure|Reading brings her great pleasure.|Nom féminin|plaisir
plenty|There is plenty of food for everyone at the party.|Nom masculin|abondance
plus|Two plus two equals four.|Préposition|plus
pocket|She found a note in her jacket pocket.|Nom masculin|poche
poem|She recited a beautiful poem at the event.|Nom masculin|poème
poet|The poet is known for his heartfelt verses.|Nom masculin|poète
poetry|She enjoys reading and writing poetry.|Nom féminin|poésie
point|He made a valid point during the discussion.|Nom masculin|point
police|The police are responsible for maintaining law and order.|Nom masculin|police
policy|The company has a strict policy on punctuality.|Nom masculin|politique
political|The political landscape is constantly changing.|Adjectif|politique
politician|The politician addressed the concerns of the citizens.|Nom masculin|homme politique
politics|The world of politics can be complex and challenging.|Nom masculin|politique
poll|The poll results show a divided public opinion.|Nom masculin|sondage
pollution|Efforts to reduce pollution are essential for the environment.|Nom féminin|pollution
pool|They enjoyed a refreshing swim in the pool.|Nom masculin|piscine
poor|She helps poor families in need.|Adjectif|pauvre
pop|The balloon made a loud pop when it burst.|Nom masculin|explosion
popular|The restaurant is popular for its delicious food.|Adjectif|populaire
population|The population of the city is growing rapidly.|Nom féminin|population
port|The ship arrived at the busy port.|Nom masculin|port
portion|She only ate a small portion of her meal.|Nom féminin|portion
portrait|The portrait captured her likeness perfectly.|Nom masculin|portrait
pose|She struck a pose for the photographer.|Verbe|poser
position|She held a high-ranking position in the company.|Nom féminin|poste
positive|A positive attitude can lead to personal growth.|Adjectif|positif
possess|They possess a vast collection of rare books.|Verbe|posséder
possession|Her car is one of her most prized possessions.|Nom féminin|possession
possibility|There's a possibility of rain later in the day.|Nom féminin|possibilité
possible|It's possible to achieve your dreams with hard work.|Adjectif|possible
possibly|They may visit, but it's not confirmed yet.|Adverbe|peut-être
post|She wrote a post on social media to share her thoughts.|Nom masculin|publication
pot|The soup simmered in the pot on the stove.|Nom masculin|marmite
potato|She roasted potato wedges in the oven.|Nom masculin|pomme de terre
potential|He has great potential to succeed in his career.|Adjectif|potentiel
potentially|The new discovery could potentially change the industry.|Adverbe|potentiellement
pound|He used a hammer to pound the nail into the wall.|Verbe|frapper
pour|She will pour a glass of water for her guest.|Verbe|verser
poverty|Efforts to alleviate poverty are ongoing.|Nom féminin|pauvreté
powder|The powder is used in baking recipes.|Nom masculin|poudre
power|The power outage affected the entire neighborhood.|Nom masculin|puissance
powerful|The engine of the car is powerful and efficient.|Adjectif|puissant
practical|The practical solution saved time and effort.|Adjectif|pratique
practice|Regular practice is essential for skill improvement.|Nom féminin|pratique
practitioner|The healthcare practitioner provided expert care.|Nom masculin|praticien
praise|She received praise for her outstanding work.|Nom féminin|éloge
pray|They pray for peace and harmony in the world.|Verbe|prier
prayer|The prayer is a source of comfort during difficult times.|Nom féminin|prière
precisely|She followed the instructions precisely.|Adverbe|précisément
predict|It's difficult to predict the outcome.|Verbe|prédire
prefer|She tends to prefer tea over coffee.|Verbe|préférer
preference|Each person has their own preference for music.|Nom féminin|préférence
pregnancy|Pregnancy is a time of excitement and anticipation.|Nom féminin|grossesse
pregnant|She is pregnant and expecting her first child.|Adjectif|enceinte
preparation|Proper preparation is key to success.|Nom féminin|préparation
prepare|They will prepare a delicious meal for dinner.|Verbe|préparer
prescription|The doctor wrote a prescription for medication.|Nom féminin|ordonnance
presence|Her presence at the event was greatly appreciated.|Nom féminin|présence
present|She received a thoughtful present for her birthday.|Nom masculin|cadeau
presentation|The presentation included visuals and data.|Nom féminin|présentation
preserve|Efforts to preserve historical sites are ongoing.|Verbe|préserver
president|The president of the company is a dynamic leader.|Nom masculin|président
press|They used a press to create copies of the document.|Nom masculin|presse
pressure|The pressure of the situation was overwhelming.|Nom féminin|pression
pretend|Children love to pretend and use their imagination.|Verbe|faire semblant
pretty|The flowers in the garden are so pretty.|Adjectif|joli
prevent|They take measures to prevent accidents.|Verbe|empêcher
previous|The previous owner of the house left it in good condition.|Adjectif|précédent
previously|She had visited the city previously.|Adverbe|auparavant
price|The price of the item was quite high.|Nom masculin|prix
pride|They take pride in their cultural heritage.|Nom masculin|fierté
priest|The priest officiated the wedding ceremony.|Nom masculin|prêtre
primarily|The book is primarily focused on historical events.|Adverbe|principalement
primary|Education is a primary focus for children.|Adjectif|primaire
prime|The prime time for the show is in the evening.|Adjectif|de premier plan
prince|The prince was known for his kindness and generosity.|Nom masculin|prince
princess|She dressed up as a princess for the costume party.|Nom féminin|princesse
principle|Honesty is a guiding principle in their family.|Nom masculin|principe
print|She used a printer to produce copies of the document.|Verbe|imprimer
prior|He had prior knowledge of the situation.|Adjectif|antérieur
priority|Safety is a top priority for the company.|Nom féminin|priorité
prison|The prison houses inmates who have committed crimes.|Nom masculin|prison
prisoner|The prisoner served time for their offenses.|Nom masculin|détenu
private|They had a private conversation in the office.|Adjectif|privé
prize|The prize for the contest was a valuable gift.|Nom masculin|prix
probably|They will probably attend the event.|Adverbe|probablement
problem|Finding a solution to the problem is important.|Nom masculin|problème
procedure|The procedure for filing a complaint is straightforward.|Nom féminin|procédure
proceed|They will proceed with the plan as scheduled.|Verbe|procéder
process|The process of making chocolate is fascinating.|Nom masculin|processus
produce|They grow and produce organic vegetables.|Verbe|produire
product|The product received positive reviews from customers.|Nom masculin|produit
production|The production of the film took several months.|Nom féminin|production
profession|Her chosen profession is in healthcare.|Nom féminin|profession
professional|He is a professional photographer with years of experience.|Adjectif|professionnel
professor|The professor is an expert in their field.|Nom masculin|professeur
profile|Her online dating profile was engaging and honest.|Nom masculin|profil
profit|The company aims to make a profit this year.|Nom masculin|profit
program|The program offers a variety of courses and activities.|Nom masculin|programme
progress|They made steady progress on the project.|Nom masculin|progrès
project|The project is a collaborative effort of the team.|Nom masculin|projet
prominent|The prominent building is a landmark in the city.|Adjectif|éminent
promise|She made a promise to always be there for her friend.|Nom masculin|promesse
promote|They plan to promote the new product through advertisements.|Verbe|promouvoir
promotion|The promotion offers a discount on selected items.|Nom féminin|promotion
prompt|He delivered a prompt response to the inquiry.|Adjectif|rapide
proof|They provided proof of their identity.|Nom masculin|preuve
proper|Proper etiquette is essential in formal settings.|Adjectif|approprié
properly|She knows how to properly handle the equipment.|Adverbe|correctement
property|The property includes a spacious backyard.|Nom masculin|propriété
proportion|The proportion of ingredients is crucial in the recipe.|Nom féminin|proportion
proposal|They submitted a proposal for the new project.|Nom masculin|proposition
propose|He plans to propose to his girlfriend on their anniversary.|Verbe|proposer
prospect|The job prospect in the city is promising.|Nom masculin|perspective
protect|They work to protect endangered species.|Verbe|protéger
protection|The protection of natural habitats is important.|Nom féminin|protection
protein|Protein is essential for muscle growth and repair.|Nom masculin|protéine
protest|The protest drew a large crowd in the city.|Nom masculin|manifestation
proud|She is proud of her accomplishments.|Adjectif|fier
prove|They need to prove the accuracy of their claims.|Verbe|prouver
provide|They provide support to those in need.|Verbe|fournir
provider|The service provider offers a range of packages.|Nom masculin|fournisseur
province|The province is known for its scenic beauty.|Nom féminin|province
provision|The provision of clean water is a basic necessity.|Nom féminin|disposition
psychological|Psychological well-being is important for overall health.|Adjectif|psychologique
psychology|The field of psychology explores the human mind.|Nom féminin|psychologie
public|The public is invited to attend the event.|Adjectif|public
publication|The publication of the book is anticipated.|Nom féminin|publication
publicly|She announced her decision publicly.|Adverbe|publiquement
publish|They plan to publish the research findings soon.|Verbe|publier
pull|He used all his strength to pull the heavy object.|Verbe|tirer
punch|She served a refreshing punch at the party.|Nom masculin|coup de poing
punish|Parents should not punish their children harshly.|Verbe|punir
punishment|The punishment should be fair and reasonable.|Nom masculin|punition
purchase|They went to purchase groceries for the week.|Verbe|acheter
pure|The pure water source is essential for the village.|Adjectif|pur
purpose|Their purpose is to make a positive impact on society.|Nom masculin|objectif
pursue|She decided to pursue a career in music.|Verbe|poursuivre
push|She used her strength to push the heavy door open.|Verbe|pousser
put|She will put the book on the shelf.|Verbe|mettre
qualify|They worked hard to qualify for the championship.|Verbe|se qualifier
quality|The quality of the product meets high standards.|Nom féminin|qualité
quantity|The quantity of goods in stock is limited.|Nom féminin|quantité
quarter|They lived in a quaint cottage by the lake.|Nom masculin|trimestre
queen|The queen is known for her wisdom and leadership.|Nom féminin|reine
question|She had a question about the assignment.|Nom féminin|question
quick|They made a quick decision to resolve the issue.|Adjectif|rapide
quickly|He quickly finished his homework and went out to play.|Adverbe|rapidement
quiet|The library is a quiet place to study and read.|Adjectif|silencieux
quietly|She whispered quietly to avoid waking the baby.|Adverbe|silencieusement
quite|The dress is quite expensive, but it's worth it.|Adverbe|assez
quote|She used a famous quote to begin her speech.|Nom masculin|citation
race|The race was intense, with competitors from around the world.|Nom féminin|course
racial|Racial discrimination is a serious issue that needs addressing.|Adjectif|racial
radical|The changes in the new policy are quite radical.|Adjectif|radical
radio|They listened to the radio for the latest news updates.|Nom masculin|radio
rail|They traveled by rail to reach their destination.|Nom masculin|rail
rain|The rain started to fall, and they sought shelter.|Nom masculin|pluie
raise|They aim to raise awareness about environmental issues.|Verbe|sensibiliser
range|The mountain range offers breathtaking views.|Nom féminin|chaîne
rank|He achieved a high rank in the competition.|Nom masculin|rang
rapidly|The company expanded rapidly over the years.|Adverbe|rapidement
rare|The rare gemstone is highly valuable.|Adjectif|rare
rarely|They rarely go on vacations due to their busy schedule.|Adverbe|rarement
rate|The interest rate on the loan is reasonable.|Nom masculin|taux
rather|She would rather stay home and relax.|Adverbe|plutôt
reach|They will reach their destination in a few hours.|Verbe|atteindre
react|He will react to the news with surprise.|Verbe|réagir
reaction|Her reaction to the surprise was priceless.|Nom féminin|réaction
read|She loves to read books in her free time.|Verbe|lire
reader|The reader enjoyed the plot twists in the novel.|Nom masculin|lecteur
reading|Reading enhances one's knowledge and imagination.|Nom féminin|lecture
ready|They are ready to embark on a new adventure.|Adjectif|prêt
real|The real reason for their absence was unknown.|Adjectif|réel
reality|The reality of the situation began to sink in.|Nom féminin|réalité
realize|She will realize her dream of traveling the world.|Verbe|réaliser
really|He is really excited about the upcoming trip.|Adverbe|vraiment
reason|The reason for their disagreement was unclear.|Nom masculin|raison
reasonable|The price of the meal was reasonable and affordable.|Adjectif|raisonnable
recall|She struggled to recall the details of the story.|Verbe|se rappeler
receive|They will receive the award for their contributions.|Verbe|recevoir
recent|The recent changes have improved the situation.|Adjectif|récemment
recently|They recently moved to a new city for work.|Adverbe|récemment
recipe|The recipe calls for a mix of spices and herbs.|Nom masculin|recette
recognize|She couldn't recognize her old friend at first.|Verbe|reconnaître
recommend|They recommend this restaurant for its excellent food.|Verbe|recommander
recommendation|The recommendation is to stay hydrated during the heat.|Nom féminin|recommandation
record|They set a new record for the fastest time.|Nom masculin|record
recording|The recording of the live performance sounded great.|Nom masculin|enregistrement
recover|She will recover from her illness with time.|Verbe|se rétablir
recovery|The recovery process can be challenging.|Nom féminin|rétablissement
recruit|They plan to recruit new employees for the project.|Verbe|recruter
red|The red roses symbolize love and passion.|Adjectif|rouge
reduce|They aim to reduce energy consumption in the building.|Verbe|réduire
reduction|The reduction in pollution levels is a positive sign.|Nom féminin|réduction
reflect|She took a moment to reflect on her choices.|Verbe|réfléchir
reflection|The reflection in the mirror was clear and bright.|Nom féminin|reflet
reform|The reform in the education system is long overdue.|Nom masculin|réforme
refugee|The refugee found safety in a new country.|Nom masculin|réfugié
refuse|They will refuse to accept the unfair terms.|Verbe|refuser
regard|They regard their grandparents with love and respect.|Nom masculin|regard
regarding|She sent an email regarding the upcoming meeting.|Préposition|concernant
region|The region is known for its unique culture and traditions.|Nom féminin|région
regional|The regional cuisine offers a variety of flavors.|Adjectif|régional
register|They need to register for the event in advance.|Verbe|s'inscrire
regret|He expressed his regret for his thoughtless actions.|Nom masculin|regret
regular|Regular exercise is essential for a healthy lifestyle.|Adjectif|régulier
regularly|She visits the park regularly to enjoy nature.|Adverbe|régulièrement
regulation|The regulation of traffic ensures safety on the roads.|Nom féminin|réglementation
reinforce|They want to reinforce the importance of teamwork.|Verbe|renforcer
reject|They will reject the proposal due to its impracticality.|Verbe|rejeter
relate|She can relate to the challenges they are facing.|Verbe|relater
related|The two stories are closely related.|Adjectif|lié
relation|Their close relation was evident in their conversations.|Nom féminin|relation
relationship|A healthy relationship is built on trust and respect.|Nom féminin|relation
relative|He is a relative of the famous author.|Nom masculin|parent
relatively|The task is relatively simple and straightforward.|Adverbe|relativement
relax|They plan to relax and unwind during the weekend.|Verbe|se détendre
release|The release of the new album is highly anticipated.|Verbe|publier
relevant|The information is relevant to the topic.|Adjectif|pertinent
relief|She sighed in relief when she found her lost keys.|Nom masculin|soulagement
religion|Religion is a deeply personal and spiritual choice.|Nom féminin|religion
religious|The religious ceremony was solemn and sacred.|Adjectif|religieux
rely|They rely on each other for support and encouragement.|Verbe|compter sur
remain|They will remain friends for a lifetime.|Verbe|rester
remaining|The remaining tasks can be completed tomorrow.|Adjectif|restant
remark|She made a remark about the beautiful weather.|Nom masculin|commentaire
remarkable|The performance was truly remarkable and memorable.|Adjectif|remarquable
remember|She will always remember their special moments together.|Verbe|se souvenir
remind|He will remind them of the important deadline.|Verbe|rappeler
remote|The remote village is far from the city.|Adjectif|éloigné
remove|They need to remove the old wallpaper.|Verbe|retirer
rent|They pay monthly rent for their apartment.|Nom masculin|loyer
repair|They will repair the damaged roof.|Verbe|réparer
repeat|They repeat the mantra for relaxation and focus.|Verbe|répéter
replace|They plan to replace the old furniture with new pieces.|Verbe|remplacer
replacement|The replacement part arrived and fixed the issue.|Nom masculin|remplacement
reply|She received a prompt reply to her email.|Nom masculin|réponse
report|They will write a report on the findings.|Nom masculin|rapport
reporter|The reporter covered the breaking news story.|Nom masculin|journaliste
represent|They represent their culture through art and music.|Verbe|représenter
reputation|The company has a strong reputation for quality.|Nom féminin|réputation
request|She sent a request for information about the event.|Nom masculin|demande
require|They require assistance to complete the project on time.|Verbe|exiger
requirement|The requirement for admission is a completed form.|Nom masculin|exigence
rescue|The rescue team arrived in time to save lives.|Verbe|sauver
research|The research project explores new frontiers in science.|Nom masculin|recherche
researcher|The researcher made significant discoveries in the field.|Nom masculin|chercheur
resemble|The siblings closely resemble each other.|Verbe|ressembler
reservation|She made a reservation for a table at the restaurant.|Nom féminin|réservation
resident|He is a long-time resident of the neighborhood.|Nom masculin|résident
resist|It's hard to resist the aroma of freshly baked bread.|Verbe|résister
resistance|The resistance to change can be challenging to overcome.|Nom féminin|résistance
resolve|They resolved the conflict through open communication.|Verbe|résoudre
resort|The resort offers a range of recreational activities.|Nom masculin|station
resource|They have access to a vast resource of information.|Nom féminin|ressource
respect|Respect for one another is vital in any relationship.|Nom masculin|respect
respond|He will respond to the inquiry as soon as possible.|Verbe|répondre
response|The response from the audience was overwhelmingly positive.|Nom féminin|réponse
responsibility|Taking on the responsibility of a pet requires commitment.|Nom féminin|responsabilité
responsible|She is a responsible person who can be trusted.|Adjectif|responsable
rest|She needed to rest after a long day at work.|Nom masculin|repos
restaurant|They plan to dine at their favorite restaurant.|Nom masculin|restaurant
restore|Efforts to restore the historic building are ongoing.|Verbe|restaurer
restriction|The restriction on access is temporary.|Nom féminin|restriction
result|The result of their hard work was a successful project.|Nom masculin|résultat
retain|They retain the rights to their original work.|Verbe|conserver
retire|She plans to retire after a long and successful career.|Verbe|prendre sa retraite
retirement|Retirement allows for relaxation and new experiences.|Nom masculin|retraite
return|They will return the borrowed book to the library.|Verbe|retourner
reveal|The secret plans were revealed to the public.|Verbe|révéler
revenue|The revenue generated from sales was impressive.|Nom masculin|recettes
review|They wrote a positive review of the restaurant.|Nom masculin|critique
revolution|The industrial revolution transformed society.|Nom féminin|révolution
reward|They received a reward for their honesty and integrity.|Nom masculin|récompense
rhythm|The rhythm of the music made everyone dance.|Nom masculin|rythme
rice|She cooked a delicious dish using rice and vegetables.|Nom masculin|riz
rich|The rich aroma of coffee filled the room.|Adjectif|riche
ride|They plan to ride bicycles in the park.|Verbe|faire du vélo
ridiculous|The idea of traveling to the moon seemed ridiculous.|Adjectif|ridicule
right|She believes in doing what is morally right.|Adjectif|juste
right|He is right, and his argument is convincing.|Adverbe|bien
ring|She received a beautiful engagement ring.|Nom masculin|bague
rise|They watched the sun rise over the horizon.|Verbe|se lever
risk|Taking calculated risks can lead to great opportunities.|Nom masculin|risque
river|The river flows gently through the picturesque landscape.|Nom masculin|rivière
road|The road is long, but the journey is worth it.|Nom masculin|route
rock|They sat on a large rock by the beach.|Nom masculin|rocher
role|Each person plays a unique role in the family.|Nom masculin|rôle
roll|She used a rolling pin to flatten the dough.|Nom masculin|rouleau
romantic|A romantic dinner by the candlelight is special.|Adjectif|romantique
roof|The roof of the house is undergoing repairs.|Nom masculin|toit
room|They are redecorating their living room.|Nom masculin|pièce
root|The roots of the tree extend deep into the ground.|Nom masculin|racine
rope|They used a strong rope to secure the boat.|Nom féminin|corde
rough|The rough waves made the boat ride bumpy.|Adjectif|agité
roughly|They estimate the journey will take roughly two hours.|Adverbe|approximativement
round|The round table can seat several people comfortably.|Adjectif|rond
route|They chose a scenic route for their road trip.|Nom féminin|itinéraire
routine|A daily routine helps maintain structure and order.|Nom féminin|routine
row|They sat in the front row during the concert.|Nom masculin|rangée
rub|She used a soft cloth to rub the surface clean.|Verbe|frotter
rule|Following the rule ensures safety for everyone.|Nom masculin|règle
run|He likes to run in the park every morning.|Verbe|courir
running|Running is a great way to stay active and healthy.|Nom masculin|course
rural|The rural area is peaceful and scenic.|Adjectif|rural
rush|They had to rush to catch their flight.|Verbe|se dépêcher
sacred|The temple is considered a sacred place.|Adjectif|sacré
sad|She felt sad when her pet ran away.|Adjectif|triste
safe|The safe neighborhood provided security and peace.|Adjectif|sûr
safety|Safety measures are in place to protect the workers.|Nom féminin|sécurité
sail|They plan to sail across the ocean.|Verbe|naviguer
salad|She enjoyed a fresh salad with a variety of vegetables.|Nom féminin|salade
salary|They received a good salary for their hard work.|Nom masculin|salaire
sale|The sale includes discounts on many items.|Nom féminin|vente
salt|They added a pinch of salt to the soup.|Nom masculin|sel
same|The twins look the same, but they have different personalities.|Adjectif|même
sample|They received a sample of the new product to try.|Nom masculin|échantillon
satisfy|The delicious meal did not satisfy their hunger.|Verbe|satisfaire
satisfying|The dessert was satisfying and indulgent.|Adjectif|satisfaisant
save|They will save money for a future vacation.|Verbe|économiser
saving|Saving money requires discipline and planning.|Nom masculin|économie
say|She had a lot to say about her recent experiences.|Verbe|dire
scale|The scale of the project was enormous.|Nom féminin|échelle
scare|The unexpected noise can scare children.|Verbe|effrayer
scared|He was scared of the dark when he was a child.|Adjectif|effrayé
scenario|The worst-case scenario is unlikely to happen.|Nom masculin|scénario
scene|The scene in the movie was intense and emotional.|Nom féminin|scène
schedule|They followed a strict schedule for the event.|Nom masculin|calendrier
scheme|The scheme was clever but ultimately unsuccessful.|Nom masculin|complot
school|She attends school to gain knowledge and skills.|Nom masculin|école
science|Science and technology are advancing rapidly.|Nom féminin|science
scientific|The scientific community works on groundbreaking research.|Adjectif|scientifique
scientist|The scientist made a significant discovery.|Nom masculin|scientifique
scope|The scope of the project is extensive and challenging.|Nom masculin|portée
score|They achieved a high score on the exam.|Nom masculin|score
scream|A loud scream echoed through the haunted house.|Verbe|crier
screen|The screen displays information and visuals.|Nom masculin|écran
script|The script for the play was well-written and engaging.|Nom masculin|scénario
search|They conducted a thorough search for the missing keys.|Verbe|rechercher
season|The season of autumn brings cooler temperatures.|Nom féminin|saison
seat|They found an empty seat in the crowded theater.|Nom masculin|siège
second|She will take a second serving of dessert.|Adjectif|deuxième
second|He finished the race in second place.|Nom masculin|deuxième
secondary|Secondary sources provide additional information.|Adjectif|secondaire
secret|The secret ingredient in the recipe is revealed.|Nom masculin|secret
secretary|The secretary is responsible for office tasks.|Nom masculin|secrétaire
section|The book is divided into chapters and sections.|Nom féminin|section
sector|The technology sector is booming with innovation.|Nom masculin|secteur
secure|They need to secure their belongings during the trip.|Verbe|sécuriser
security|Security measures are in place to protect the premises.|Nom féminin|sécurité
see|They will see a movie at the cinema tonight.|Verbe|voir
seed|They planted seeds in the garden for future crops.|Nom masculin|graine
seek|They seek knowledge through books and research.|Verbe|chercher
seem|The situation may seem complex, but it has a solution.|Verbe|sembler
segment|The news program includes a segment on global events.|Nom masculin|segment
seize|They will seize the opportunity to make a change.|Verbe|saisir
select|They can select their preferred seats for the show.|Verbe|sélectionner
selection|The selection of books in the library is vast.|Nom féminin|sélection
self|Self-awareness is crucial for personal growth.|Nom masculin|soi
sell|They plan to sell their old furniture online.|Verbe|vendre
senate|The senate is responsible for making important decisions.|Nom masculin|sénat
senator|The senator represents the state in government.|Nom masculin|sénateur
send|They will send an email to confirm the meeting.|Verbe|envoyer
senior|She is a senior member of the team with experience.|Adjectif|senior
sense|Trust your sense of direction in unfamiliar places.|Nom masculin|sens
sensitive|The sensitive issue required careful handling.|Adjectif|sensible
sentence|The sentence was written clearly and concisely.|Nom féminin|phrase
separate|They will separate the items into different categories.|Verbe|séparer
separation|The separation between the two countries was peaceful.|Nom féminin|séparation
sequence|The sequence of events led to a surprising outcome.|Nom féminin|séquence
series|The TV series has a dedicated fan base.|Nom féminin|série
serious|The matter is serious and requires immediate attention.|Adjectif|sérieux
seriously|She takes her responsibilities seriously.|Adverbe|sérieusement
serve|They will serve a delicious meal for dinner.|Verbe|servir
service|The customer service was friendly and efficient.|Nom masculin|service
session|The therapy session was helpful for self-improvement.|Nom féminin|séance
set|They set a new record for the race.|Verbe|établir
setting|The setting of the story is a small, quaint town.|Nom masculin|cadre
settle|They plan to settle in a peaceful countryside.|Verbe|s'installer
settlement|The settlement was established centuries ago.|Nom masculin|établissement
severe|The severe weather caused damage to homes.|Adjectif|sévère
sex|They discussed the topic of sex education.|Nom masculin|sexe
sexual|The discussion on sexual health is important.|Adjectif|sexuel
shade|The shade of the tree provided relief from the sun.|Nom masculin|ombre
shadow|The shadow of the tree stretched across the field.|Nom masculin|ombre
shake|She will shake the ingredients to mix them well.|Verbe|secouer
shall|Shall we go for a walk in the park?|Modal|devons
shape|The shape of the puzzle piece was unique.|Nom masculin|forme
share|They like to share their thoughts and ideas.|Verbe|partager
sharp|The knife has a sharp blade for cutting.|Adjectif|tranchant
sharply|The temperature dropped sharply in the evening.|Adverbe|brusquement
she|She is known for her kindness and generosity.|Pronom|elle
sheet|They used a clean sheet for the bed.|Nom féminin|drap
shelf|The books on the shelf are neatly organized.|Nom masculin|étagère
shell|The shell of the snail protects it from harm.|Nom féminin|coquille
shelter|The shelter provides a safe place for homeless individuals.|Nom masculin|abri
shift|They will shift their focus to a new project.|Verbe|déplacer
shine|The sun will shine brightly in the afternoon.|Verbe|briller
ship|They will ship the package to its destination.|Nom masculin|navire
shirt|He wore a crisp, white shirt to the meeting.|Nom masculin|chemise
shock|The news of the accident was a shock to everyone.|Nom masculin|choc
shoe|She put on her running shoes for a jog.|Nom masculin|chaussure
shoot|He will shoot a video to capture the moment.|Verbe|filmer
shop|They plan to shop for groceries in the evening.|Nom masculin|boutique
